name,id,subject,keywords,API_type,MD_standards
"World Data Center for Geomagnetism, Kyoto",biodbcore-001753,3 Natural Sciences#311 Astrophysics and Astronomy#31101 Astrophysics and Astronomy#32 Physics#34 Geosciences (including Geography),INTERMAGNET#aurora borealis#celestial bodies#ionosphere#magnetic equator#magnetic storms#magnetosphere#near-earth plasma#seafloor#volcano,,
Maharashtra State Data Bank,,"1 Humanities and Social Sciences#106 Non-European Languages and Cultures, Social and Cultural Anthropology, Jewish Studies and Religious Studies#10601 Social and Cultural Anthropology and Ethnology/Folklore#109 Education Sciences#11 Humanities#111 Social Sciences#11104 Political Science#112 Economics#11202 Economic and Social Policy#11203 Public Finance#11205 Statistics and Econometrics#12 Social and Behavioural Sciences#2 Life Sciences#205 Medicine#20502 Public Health, Health Services Research, Social Medicine#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#20708 Agricultural Economics and Sociology#22 Medicine#23 Agriculture, Forestry, Horticulture and Veterinary Medicine#3 Natural Sciences#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#317 Geography#34 Geosciences (including Geography)",Agriculture#Community services#Economic services#Education#Energy#Environment#Flood control#Industry#Irrigation#Minerals#Public health#Rural development#Science and technology#Socio-economic data#Statistical data#Transport,,
DTU Data,,1 Humanities and Social Sciences#2 Life Sciences#3 Natural Sciences#4 Engineering Sciences,FAIR#multidisciplinary,OAI-PMH,DataCite Metadata Schema#Dublin Core
Biological Collection Access Service for Europe,https://fairsharing.org/4209,"2 Life Sciences#202 Plant Sciences#20202 Plant Ecology and Ecosystem Analysis#203 Zoology#20303 Animal Ecology, Biodiversity and Ecosystem Research#21 Biology",biodiversity#botany#taxonomy,,ABCD - Access to Biological Collection Data
mzCloud,OMICS_14329#RRID:SCR_014669,3 Natural Sciences#301 Molecular Chemistry#31 Chemistry,biochemistry#chromatography#forensic#mass spectrometry#metabolomics#pharmaceutics#small molecules#spectral trees#tandem mass spectra#toxicology,,
AgroSpace,,"2 Life Sciences#207 Agriculture, Forestry, Horticulture and Veterinary Medicine#23 Agriculture, Forestry, Horticulture and Veterinary Medicine",agriculture#biotechnology#forestry#livestock breeding,,Dublin Core
IZTECH GCRIS,OpenDOAR:2661#hdl:11147,3 Natural Sciences#4 Engineering Sciences,multidisciplinary,OAI-PMH,Dublin Core
climate4impact,FAIRsharing_doi:10.25504/FAIRsharing.30f068,"3 Natural Sciences#313 Atmospheric Science and Oceanography#31301 Atmospheric Science#315 Geophysics and Geodesy#31502 Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartogaphy#34 Geosciences (including Geography)",CLIPC#CMIP5#CORDEX#SPECS#climate change#energy#marine coastal#nature biodiversity#tourism#urban infrastructure#water management,NetCDF#OpenDAP,CF (Climate and Forecast) Metadata Conventions#CIM - Common Information Model
National Center for Ecological Analysis and Synthesis Data Repository,,"2 Life Sciences#203 Zoology#21 Biology#23 Agriculture, Forestry, Horticulture and Veterinary Medicine#3 Natural Sciences",biocomplexity#biodiversity#botany evolution#ecology#environmental science#life sciences,,EML - Ecological Metadata Language
PSnpBind,https://w3id.org/psnpbind,2 Life Sciences#201 Basic Biological and Medical Research#20107 Bioinformatics and Theoretical Biology#21 Biology#3 Natural Sciences#301 Molecular Chemistry#31 Chemistry,AutoDock Vina#FAIR#binding affinity#binding pocket#mutation effect#virtual screening,REST,
