,count,values
contacts.comment.fr,6,"['Mirror archive', 'Production, archive, and distribution of CALIPSO products', 'Production, archive, and distribution of CloudSat products']"
parameterSet.label,12,"['', 'Aerosols.Aerosol particle properties.null.null', 'Aerosols.Chemical composition.null.null', 'Atmospheric chemistry.Oxygen compounds.Ozone.null', 'Atmospheric pressure.Differential pressure.null.null', 'Atmospheric pressure.null.null.null', 'Atmospheric radiation.Outgoing longwave radiation.null.null', 'Atmospheric radiation.null.null.null', 'Atmospheric temperature.Surface temperature.Air temperature.null', 'Atmospheric temperature.null.null.null', 'Atmospheric water vapor.null.null.null', 'Atmospheric winds.Wind dynamics.Turbulence.null', 'Atmospheric winds.null.null.null', 'Land surface.Soils.Soil temperature.null', 'Land surface.Soils.null.null', 'Precipitation.null.null.null']"
spatialExtents.area.eastLongitude,10,"[8.0, 9.5531, 30.0, 50.0, 180.0]"
platformSet.description.en,6,"[None, 'ACTRIS-EARLINET European LIDAR stations network']"
links.description.fr,13,"[""Accès aux données NDACC mesurées à l'OHP"", ""Accès aux données NDACC mesurées à l'OMP"", 'BAOBAB data portal', 'Dataset as provided by the Principal Investigator', 'Documentation des produits CALIPSO au ASDC du LaRC de la NASA', 'Documentation des produits CALIPSO à AERIS/ICARE', 'KASCADE data portal', 'MISTRALS data portal', 'Téléchargement FTP depuis le site AERIS/ICARE', 'Téléchargement HTTP sur le site web AERIS/ICARE']"
instrumentSet.resolution,16,[None]
projectSet.shortName,20,"['ACTRIS', 'ACTRIS-FR', 'AMMA', 'BAOBAB', 'CALIPSO', 'CHARMEX', 'CLOUDSAT', 'EXAEDRE', 'HYMEX', 'KASCADE', 'MISTRALS', 'NDACC-FR', 'P2OA']"
parameters,19,[None]
identifiers.codeSpace,4,"['http://dx.doi.org', 'http://dx.doi.org/']"
platformSet.name,18,"['', 'ACAR', 'ACTRIS-EARLINET', 'Acoustic Array', 'Gif Sur Yvette (91)', 'Gourma', ""M'Bour (SEN)"", 'M30', 'OHP (Observatoire de Haute Provence)', 'OMP (Observatoire Midi-Pyrénées)']"
