,count,values
parameters.TEMP.observedProperty.id,2,['http://vocab.nerc.ac.uk/standard_name/air_temperature/']
parameters.TEMP.observedProperty.label.de,2,['Lufttemperatur']
parameters.TEMP.description.en,2,['The air temperature measured in degrees Celsius.']
domain.referencing.system.id,2,['http://www.opengis.net/def/crs/OGC/1.3/CRS84']
parameters.TEMP.unit.label.en,2,['Degree Celsius']
parameters.TEMP.unit.symbol.value,2,['Cel']
parameters.TEMP.type,2,['Parameter']
domain.domainType,2,['Grid']
domain.axes.t.values,2,['2013-01-13T00:00:00Z']
domain.axes.y.num,2,[180]
domain.referencing.system.calendar,2,['Gregorian']
domain.referencing.system.type,2,"['GeographicCRS', 'TemporalRS']"
ranges.TEMP,2,['http://example.com/coverages/123/TEMP']
domain.axes.x.start,2,[-179.5]
domain.referencing.coordinates,2,"['t', 'x', 'y']"
type,2,['Coverage']
domain.axes.y.start,2,[-89.5]
domain.type,2,['Domain']
parameters.TEMP.unit.symbol.type,2,['http://www.opengis.net/def/uom/UCUM/']
domain.axes.x.stop,2,[179.5]
domain.axes.y.stop,2,[89.5]
domain.axes.x.num,2,[360]
parameters.TEMP.observedProperty.label.en,2,['Air temperature']
