,count,values
county,9,"['Ardennes', 'Cantal', 'Essonne', 'Hautes-Alpes', 'LIVERPOOL PLAINS', 'Southern Tablelands', 'Woods Co']"
verbatimEventDate,3,"['10 Jan 1899', '11 Jan 1899', '16 Jan 1899']"
http://unknown.org/northing,0,[]
iucnRedListCategory,19,"['LC', 'NE']"
locationID,2,"['4f61e5e3-27f4-4a6e-a7a9-fbf84cdbc29b', 'NSW595687']"
gadm.level3.name,13,"['Aurillac', 'Baltschieder', 'Charleville-Mézières', 'Durham', 'Gap', 'Newcastle upon Tyne', 'Saint Albans', 'Saint-Flour', 'Watford', 'West Lancashire', 'Évry']"
lastParsed,20,"['2023-08-26T03:46:06.909+00:00', '2023-08-26T03:47:06.737+00:00', '2023-08-26T06:34:07.085+00:00', '2023-08-26T06:34:07.833+00:00', '2023-08-26T06:34:35.208+00:00', '2023-08-26T21:52:00.782+00:00', '2023-09-05T22:26:28.680+00:00', '2023-09-06T21:57:03.471+00:00', '2023-09-07T02:02:57.187+00:00', '2023-09-07T06:12:24.725+00:00', '2023-09-07T10:49:01.313+00:00', '2023-09-07T11:06:36.609+00:00', '2023-09-07T11:06:38.184+00:00', '2023-09-07T11:06:45.020+00:00', '2023-09-12T18:48:24.621+00:00', '2023-09-12T18:48:29.451+00:00', '2023-09-12T18:48:57.003+00:00', '2023-09-12T18:49:01.129+00:00', '2023-09-12T18:49:07.913+00:00', '2023-09-14T07:12:53.573+00:00']"
occurrenceID,20,"['001117b9-9612-4053-9db8-39aa82f72fd4', '00207a9a-62ed-431c-8816-5b16375432fa', '0027ede0-82c2-4fa9-8495-c0f3d78840dc', '002a76b7-0933-4037-b555-9f32d20a0763', '00356339-d411-4cbd-829a-733b948b0365', '003af389-2da6-4b0c-820f-3d80add3d512', '004265b0-b90d-11ed-82b5-005056be20a7', '00584c6f-059a-4f5e-8a29-04bd128a8985', '00663240-668c-4e72-9862-c80ac73c9727', '008036de-7afa-41b2-8166-5412d06d8327', '0086b1e7-a6af-4fa6-9122-51e200b5bfc2', '0088dc94-6dbf-4256-92ea-2ee8b93889a2', '0091515f-d8ee-438b-b1ad-af2fcf95c562', '009c00ec-5369-4b1e-a787-5492fb0859bf', 'DSS005640001ZTBF', 'LC000334000ZDD5J', 'LC000334000ZDIDD', 'LC00033400189M1T', 'LC000334001BXDN0', 'LC000334001C3EAP']"
identificationVerificationStatus,12,"['Accepted', 'Accepted - correct', 'Non réalisable', 'Probable']"
gadm.level3.gid,13,"['CHE.23.13.1_1', 'FRA.1.4.1_1', 'FRA.1.4.3_1', 'FRA.13.4.2_1', 'FRA.6.1.1_1', 'FRA.8.1.2_1', 'GBR.1.30.1_1', 'GBR.1.41.6_1', 'GBR.1.41.9_1', 'GBR.1.48.11_1', 'GBR.1.58.1_1']"
