,count,values
resource.geoLocations.geoLocation.geoLocationPlace.@value,1,['Atlantic Ocean']
resource.relatedIdentifiers.relatedIdentifier.@value,1,"['arXiv:0706.0001', 'https://data.datacite.org/application/citeproc+json/10.5072/example-full']"
resource.geoLocations.geoLocation.geoLocationBox.eastBoundLongitude.@value,1,['-68.211']
resource.fundingReferences.fundingReference.funderName.@value,1,['National Science Foundation']
resource.relatedItems.relatedItem.relatedItemIdentifier.@value,1,['10.1016/j.physletb.2017.11.044']
resource.dates.date.dateType,1,['Updated']
resource.creators.creator.creatorName.nameType,1,['Personal']
resource.fundingReferences.fundingReference.awardTitle.@value,1,['Full DataCite XML Example']
resource.geoLocations.geoLocation.geoLocationBox.southBoundLatitude.@value,1,['41.090']
resource.descriptions.description.lang,1,['en-US']
resource.dates.date.dateInformation,1,['Updated with 4.4 properties']
resource.relatedItems.relatedItem.relatedItemIdentifier.relatedItemIdentifierType,1,['DOI']
resource.contributors.contributor.familyName.@value,1,['Starr']
resource.relatedIdentifiers.relatedIdentifier.resourceTypeGeneral,1,['Text']
resource.alternateIdentifiers.alternateIdentifier.alternateIdentifierType,1,['URL']
resource.creators.creator.affiliation.@value,1,['DataCite']
resource.rightsList.rights.lang,1,['en-US']
resource.relatedItems.relatedItem.publicationYear.@value,1,['2018']
resource.subjects.subject.subjectScheme,1,['dewey']
resource.relatedItems.relatedItem.relatedItemType,1,['Journal']
resource.rightsList.rights.rightsIdentifierScheme,1,['SPDX']
resource.language.@value,1,['en-US']
resource.descriptions.description.descriptionType,1,['Abstract']
resource.publisher.@value,1,['DataCite']
resource.geoLocations.geoLocation.geoLocationPoint.pointLongitude.@value,1,['-67.302']
resource.titles.title.@value,1,"['Demonstration of DataCite Properties.', 'Full DataCite XML Example']"
resource.rightsList.rights.rightsURI,1,['https://creativecommons.org/publicdomain/zero/1.0/']
resource.titles.title.lang,1,['en-US']
resource.contributors.contributor.givenName.@value,1,['Joan']
resource.creators.creator.creatorName.@value,1,"['Miller, Elizabeth']"
resource.creators.creator.familyName.@value,1,['Miller']
resource.relatedIdentifiers.relatedIdentifier.relatedMetadataScheme,1,['citeproc+json']
resource.contributors.contributor.contributorType,1,['ProjectLeader']
resource.relatedItems.relatedItem.firstPage.@value,1,['249']
resource.formats.format.@value,1,['application/xml']
resource.relatedItems.relatedItem.relationType,1,['IsPublishedIn']
resource.relatedIdentifiers.relatedIdentifier.relationType,1,"['HasMetadata', 'IsReviewedBy']"
resource.contributors.contributor.nameIdentifier.schemeURI,1,['https://orcid.org/']
resource.rightsList.rights.schemeURI,1,['https://spdx.org/licenses/']
resource.contributors.contributor.contributorName.@value,1,"['Starr, Joan']"
resource.identifier.@value,1,['10.5072/example-full']
resource.rightsList.rights.rightsIdentifier,1,['CC0 1.0']
resource.creators.creator.nameIdentifier.schemeURI,1,['https://orcid.org/']
resource.subjects.subject.@value,1,['computer science']
resource.contributors.contributor.nameIdentifier.@value,1,['0000-0002-7285-027X']
resource.identifier.identifierType,1,['DOI']
resource.contributors.contributor.affiliation.@value,1,['California Digital Library']
resource.geoLocations.geoLocation.geoLocationPolygon.polygonPoint.pointLongitude.@value,1,"['-68.211', '-69.622', '-71.032']"
resource.publisher.lang,1,['en']
resource.alternateIdentifiers.alternateIdentifier.@value,1,['https://schema.datacite.org/meta/kernel-4.4/example/datacite-example-full-v4.4.xml']
resource.geoLocations.geoLocation.geoLocationPoint.pointLatitude.@value,1,['31.233']
resource.subjects.subject.classificationCode,1,['000']
resource.fundingReferences.fundingReference.awardNumber.@value,1,['CBET-106']
resource.subjects.subject.schemeURI,1,['http://dewey.info/']
resource.dates.date.@value,1,['2021-01-26']
resource.publicationYear.@value,1,['2014']
resource.version.@value,1,['4.2']
resource.descriptions.description.@value,1,['XML example of all DataCite Metadata Schema v4.4 properties.']
resource.fundingReferences.fundingReference.funderIdentifier.funderIdentifierType,1,['Crossref Funder ID']
resource.resourceType.resourceTypeGeneral,1,['Software']
resource.creators.creator.nameIdentifier.nameIdentifierScheme,1,['ORCID']
resource.resourceType.@value,1,['XML']
resource.contributors.contributor.nameIdentifier.nameIdentifierScheme,1,['ORCID']
resource.subjects.subject.lang,1,['en-US']
resource.geoLocations.geoLocation.geoLocationBox.northBoundLatitude.@value,1,['42.893']
resource.creators.creator.nameIdentifier.@value,1,['0000-0001-5000-0007']
resource.relatedItems.relatedItem.volume.@value,1,['776']
resource.relatedIdentifiers.relatedIdentifier.relatedIdentifierType,1,"['URL', 'arXiv']"
resource.titles.title.titleType,1,['Subtitle']
resource.fundingReferences.fundingReference.funderIdentifier.@value,1,['https://doi.org/10.13039/100000001']
resource.creators.creator.givenName.@value,1,['Elizabeth']
resource.geoLocations.geoLocation.geoLocationBox.westBoundLongitude.@value,1,['-71.032']
resource.relatedItems.relatedItem.lastPage.@value,1,['264']
resource.sizes.size.@value,1,['4 kB']
resource.relatedIdentifiers.relatedIdentifier.schemeURI,1,['https://github.com/citation-style-language/schema/raw/master/csl-data.json']
resource.geoLocations.geoLocation.geoLocationPolygon.polygonPoint.pointLatitude.@value,1,"['41.090', '41.991', '42.893']"
resource.relatedItems.relatedItem.titles.title.@value,1,['Physics letters / B']
