,count,values
dataset.system.parameter.name.@value,2,['Aussenpara1']
dataset.system.phase.component.forcefield.name.@value,2,['Forcefield1']
dataset.system.phase.component.quantity.@value,2,['1']
dataset.provenance.step.tool.citation.@value,2,['string']
dataset.creator.role.@value,2,['Researcher']
dataset.system.parameter.unit.@value,2,['cm']
dataset.system.phase.component.forcefield.parameter.unit.@value,2,"['km/s', 'm/s']"
dataset.checksum.algorithm,2,['md5']
dataset.rightsStatement.statuteInformation.statuteCitation.authorityURI,2,['']
dataset.system.boundaryCondition.flow.position.@value,2,['x:12 y:27']
dataset.context.relatedResource.checksum.@value,2,['be32lpr3243']
dataset.system.boundaryCondition.flow.shape.@value,2,['oval']
dataset.provenance.step.instrument.partnum.@value,2,['122344354.343']
dataset.creator.name.@value,2,"['Doe, Jane']"
dataset.provenance.step.executionCommand.@value,2,['gmx_mpi mdrun -s run.tpr -maxh 24 -dlb no -deffnm run -c -e -g -o -cpo']
dataset.provenance.step.environment.cpu.@value,2,['Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz']
dataset.provenance.step.tool.SoftwareSourceCode.link.@value,2,['http://link.zum.git']
dataset.description.lang,2,['en']
dataset.format.formatDesignation.formatName.@value,2,['NetCDF']
dataset.system.boundaryCondition.flow.component.@value,2,['c123']
dataset.provenance.step.actor.affiliation.name.@value,2,['Institut']
dataset.creator.id.scheme,2,['https://www.doi.org/']
dataset.system.grid.file.link.@value,2,['objectstore:12392832']
dataset.context.relatedResource.id.scheme,2,['']
dataset.context.referencePublication.citation.@value,2,"['G. Bauer, N. Gribova, A. Lange, C. Holm, J. Gross (2017). Three-body effects in triplets of capped gold nanocrystals']"
dataset.context.referencePublication.id.type,2,['doi']
dataset.contact.id.@value,2,['0000-0002-8524-0569']
dataset.contact.familyName.@value,2,['Test']
dataset.dates.date.dateType,2,"['Available', 'Created', 'Submitted']"
dataset.system.id,2,"['s1', 's2']"
dataset.system.temporalResolution.interval.@value,2,['10.454']
dataset.contact.affiliation.address.@value,2,"['Holzgartenstr. 16, 70165 Stuttgart, Germandy']"
dataset.rightsStatement.statuteInformation.statuteJurisdiction.@value,2,['CountryCode']
dataset.contact.id.type,2,['orcid']
dataset.identifier.@value,2,['10.232543242']
dataset.system.temporalResolution.timeStep.@value,2,"['1.12', '2.12', '7.12']"
dataset.system.boundaryCondition.flow.size.@value,2,['2.34']
dataset.provenance.step.actor.role.@value,2,['Researcher']
dataset.fundingReference.funderName.@value,2,['DFG']
dataset.fundingReference.awardNumber.@value,2,['5463']
dataset.provenance.step.actor.email.@value,2,['testine@test.de']
dataset.controlledVariable.value.@value,2,['5.0']
dataset.provenance.step.instrument.history.event.action.@value,2,"['Installation', 'Reparatur']"
dataset.provenance.step.actor.name.@value,2,['Testine Test']
dataset.measuredVariable.symbol.@value,2,"['v', '°C']"
dataset.provenance.step.tool.SoftwareApplication.checksum.algorithm,2,['md5']
