,count,values
refine.biso_mean,2,[30.0]
pdbx_audit_revision_group.revision_ordinal,2,"[2, 3, 4]"
rcsb_entry_info.deposited_atom_count,2,[2513]
refine_hist.pdbx_number_atoms_nucleic_acid,2,[0]
rcsb_entry_info.deposited_modeled_polymer_monomer_count,2,[287]
rcsb_entry_container_identifiers.polymer_entity_ids,2,"['1', '2', '3']"
exptl.method,2,['X-RAY DIFFRACTION']
citation.year,2,"[1993, 1999]"
rcsb_entry_info.deposited_polymer_entity_instance_count,2,[3]
pdbx_molecule_features.name,2,['MOL-126']
pdbx_audit_revision_group.group,2,"['Atomic model', 'Database references', 'Derived calculations', 'Non-polymer description', 'Other', 'Structure summary', 'Version format compliance']"
pdbx_vrpt_summary.num_hreduce,2,[2332.0]
pdbx_vrpt_summary.relative_percentile_percent_rotamer_outliers,2,[4.4]
diffrn_detector.diffrn_id,2,['1']
exptl_crystal_grow.crystal_id,2,['1']
cell.angle_alpha,2,[90.0]
pdbx_vrpt_summary.num_pdbids_relative_percentile_clashscore,2,[2801]
rcsb_entry_info.deposited_nonpolymer_entity_instance_count,2,[3]
pdbx_audit_revision_details.data_content_type,2,['Structure model']
pdbx_vrpt_summary.percentilebins,2,"['2.06', 'all', 'xray']"
rcsb_entry_info.entity_count,2,[6]
pdbx_vrpt_summary.restypes_notchecked_for_bond_angle_geometry,2,"['00L', 'NA', 'TYS']"
rcsb_entry_info.molecular_weight,2,[36.04]
pdbx_molecule_features.type,2,['Peptide-like']
rcsb_entry_info.polymer_composition,2,['heteromeric protein']
rcsb_entry_info.deposited_hydrogen_atom_count,2,[0]
rcsb_entry_info.polymer_molecular_weight_minimum,2,[1.53]
rcsb_entry_container_identifiers.entry_id,2,['1A5G']
refine.pdbx_ls_sigma_f,2,[4.0]
pdbx_vrpt_summary.low_resol_relative_percentile_percent_ramachandran_outliers,2,[2.08]
rcsb_primary_citation.year,2,[1999]
rcsb_entry_info.selected_polymer_entity_types,2,['Protein (only)']
refine_hist.number_atoms_solvent,2,[135]
pdbx_vrpt_summary.high_resol_relative_percentile_clashscore,2,[2.04]
rcsb_entry_info.inter_mol_covalent_bond_count,2,[3]
rcsb_entry_info.polymer_entity_count_nucleic_acid_hybrid,2,[0]
pdbx_audit_revision_details.revision_ordinal,2,[1]
pdbx_vrpt_summary.pdb_r,2,[0.16]
diffrn_detector.detector,2,['IMAGE PLATE']
rcsb_entry_container_identifiers.non_polymer_entity_ids,2,"['4', '5']"
rcsb_entry_info.nonpolymer_molecular_weight_maximum,2,[0.58]
refine_ls_restr.pdbx_refine_id,2,['X-RAY DIFFRACTION']
