,count,values
premis.rights.rightsStatement.rightsBasis.authority,2,['rightsBasis']
premis.object.objectCharacteristics.fixity.messageDigestAlgorithm.valueURI,2,['http://id.loc.gov/vocabulary/preservation/cryptographicHashFunctions/sha256']
premis.object.preservationLevel.preservationLevelRationale.@value,2,['institutional policy']
premis.rights.rightsStatement.rightsStatementIdentifier.rightsStatementIdentifierValue.@value,2,['1234']
premis.object.objectCharacteristics.size.@value,2,"['4859385', '5826']"
premis.object.environmentRegistry.environmentRegistryRole.authorityURI,2,['http://id.loc.gov/vocabulary/preservation/environmentRegistryRole']
premis.rights.rightsStatement.copyrightInformation.copyrightNote.@value,2,['Copyright held by the donor']
premis.object.environmentRegistry.environmentRegistryRole.@value,2,['specification']
premis.object.objectCharacteristics.format.formatDesignation.formatName.@value,2,"['WordPerfect for DOS', 'WordPerfect for DOS macro']"
premis.object.objectCharacteristics.compositionLevel.@value,2,['0']
premis.event.linkingAgentIdentifier.linkingAgentRole.@value,2,"['executing program', 'implementer']"
premis.object.objectCharacteristics.fixity.messageDigestAlgorithm.authorityURI,2,['http://id.loc.gov/vocabulary/preservation/cryptographicHashFunctions']
premis.object.objectCharacteristics.format.formatDesignation.formatVersion.@value,2,['5.1']
premis.object.environmentRegistry.environmentRegistryRole.valueURI,2,['http://id.loc.gov/vocabulary/preservation/environmentRegistryRole/spe']
premis.object.environmentRegistry.environmentRegistryName.@value,2,['sourceforge ']
premis.agent.agentType.valueURI,2,"['http://id.loc.gov/vocabulary/preservation/agentType/org', 'http://id.loc.gov/vocabulary/preservation/agentType/per']"
premis.object.environmentFunction.environmentFunctionType.authorityURI,2,['http://id.loc.gov/vocabulary/preservation/environmentFunctionType']
premis.rights.rightsStatement.copyrightInformation.copyrightStatus.@value,2,['Copyrighted']
premis.object.relationship.relationshipSubType.authorityURI,2,['http://id.loc.gov/vocabulary/preservation/relationshipSubType']
premis.event.linkingObjectIdentifier.linkingObjectIdentifierType.@value,2,['local']
premis.event.linkingAgentIdentifier.linkingAgentIdentifierValue.@value,2,"['FIDO', 'NRI']"
premis.object.preservationLevel.preservationLevelRole.authorityURI,2,['http://id.loc.gov/vocabulary/preservation/preservationLevelRole']
premis.object.relationship.relatedObjectIdentifier.relatedObjectIdentifierType.@value,2,['local']
premis.object.relationship.relationshipType.valueURI,2,"['http://id.loc.gov/vocabulary/preservation/relationshipType/dep', 'http://id.loc.gov/vocabulary/preservation/relationshipType/rep', 'http://id.loc.gov/vocabulary/preservation/relationshipType/str']"
premis.object.environmentFunction.environmentFunctionLevel.@value,2,"['1', '2']"
premis.object.storage.contentLocation.contentLocationType.valueURI,2,['http://id.loc.gov/vocabulary/preservation/contentLocationType/ext']
premis.rights.rightsStatement.rightsGranted.act.@value,2,['Replicate']
premis.object.preservationLevel.preservationLevelDateAssigned.@value,2,['2015-02-23']
premis.object.objectCharacteristics.fixity.messageDigest.@value,2,"['12ab90f3467ce32a34a575ce6e035f1ab0e5bea996c514deafed4c6bedcbd1cd', 'd2bed92b73c7090bb30a0b30016882e7069c437488e1513e9deaacbe29d38d92']"
premis.object.relationship.relatedObjectIdentifier.relatedObjectSequence.@value,2,['0']
premis.object.environmentFunction.environmentFunctionType.authority,2,['environmentFunctionType']
premis.agent.agentName.@value,2,"['Evelyn McLellan', 'Format Identification for Digital Objects', 'Not a Real Institution']"
premis.object.relationship.relatedEnvironmentPurpose.authorityURI,2,['http://id.loc.gov/vocabulary/preservation/environmentPurpose']
premis.event.linkingAgentIdentifier.linkingAgentRole.authority,2,['eventRelatedAgentRole']
premis.object.storage.contentLocation.contentLocationValue.@value,2,"['/var/sharedDirectory/www/AIPsStore/3jf8/a138/505b/4a00/abb7/2bec/dnv8/vDos.exe', '/var/sharedDirectory/www/AIPsStore/ebdc/a138/505b/4a00/abb7/2bec/afde/LETTER.wpd', '128']"
premis.object.preservationLevel.preservationLevelRole.@value,2,"['capability', 'intention']"
premis.object.preservationLevel.preservationLevelRole.authority,2,['preservationLevelRole']
premis.object.objectIdentifier.objectIdentifierType.@value,2,['local']
premis.object.storage.storageMedium.@value,2,['Hard disk']
premis.object.preservationLevel.preservationLevelRole.valueURI,2,"['http://id.loc.gov/vocabulary/preservation/preservationLevelRole/cap', 'http://id.loc.gov/vocabulary/preservation/preservationLevelRole/int']"
premis.rights.rightsStatement.rightsBasis.valueURI,2,['http://id.loc.gov/vocabulary/preservation/rightsBasis/cop']
premis.rights.rightsStatement.rightsGranted.rightsGrantedNote.@value,2,['Replication for preservation purposes only']
premis.rights.rightsStatement.copyrightInformation.copyrightStatusDeterminationDate.@value,2,['2012-04-16']
premis.agent.agentIdentifier.agentIdentifierType.@value,2,['local']
premis.object.preservationLevel.preservationLevelType.@value,2,"['Bit preservation', 'logical preservation']"
premis.object.objectCharacteristics.inhibitors.inhibitorType.@value,2,['Password protection']
