,count,values
ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.code.type,1,['CE']
ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.inversionInd,1,"['false', 'true']"
ClinicalDocument.component.structuredBody.component.section.entry.act.code.code,2,"['10183-2', '274025005', '310634005', '48765-2', 'CONC']"
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.effectiveTime.period.unit,2,['h']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.performer.assignedEntity.telecom.nullFlavor,1,['UNK']
ClinicalDocument.component.structuredBody.component.section.entry.act.participant.participantRole.addr.postalCode.@value,1,['02368']
ClinicalDocument.componentOf.encompassingEncounter.effectiveTime.high.value,2,"['20050329', '20120813']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.entryRelationship.supply.performer.assignedEntity.addr.state.@value,1,['OR']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.rateQuantity.value,1,['110']
ClinicalDocument.component.structuredBody.component.section.code.codeSystem,2,['2.16.840.1.113883.6.1']
ClinicalDocument.component.structuredBody.component.section.code.codeSystemName,2,['LOINC']
ClinicalDocument.component.structuredBody.component.section.entry.observation.participant.participantRole.addr.streetAddressLine.@value,1,['17 Daws Rd.']
ClinicalDocument.informant.relatedEntity.classCode,2,['PRS']
ClinicalDocument.component.structuredBody.component.section.entry.procedure.code.codeSystem,2,['2.16.840.1.113883.6.96']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.effectiveTime.low.value,2,"['20020101', '20120806']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.entryRelationship.supply.performer.assignedEntity.assignedPerson.name.prefix.@value,1,['Dr.']
ClinicalDocument.recordTarget.patientRole.patient.maritalStatusCode.code,2,['M']
ClinicalDocument.component.structuredBody.component.section.entry.organizer.code.displayName,2,"['CBC WO DIFFERENTIAL', 'Vital signs']"
ClinicalDocument.component.structuredBody.component.section.entry.observation.priorityCode.codeSystem,1,['2.16.840.1.113883.5.7']
ClinicalDocument.componentOf.encompassingEncounter.encounterParticipant.assignedEntity.id.root,1,['2.16.840.1.113883.4.6']
ClinicalDocument.component.structuredBody.component.section.entry.procedure.performer.assignedEntity.id.extension,1,['1234']
ClinicalDocument.component.structuredBody.component.section.entry.act.participant.typeCode,1,['LOC']
ClinicalDocument.id.extension,2,"['999021', 'Test CCDA']"
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.observation.templateId.root,2,"['2.16.840.1.113883.10.20.22.4.19', '2.16.840.1.113883.10.20.22.4.53']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.templateId.root,2,"['2.16.840.1.113883.10.20.22.4.4', '2.16.840.1.113883.10.20.22.4.7']"
ClinicalDocument.recordTarget.patientRole.patient.languageCommunication.modeCode.codeSystem,2,['2.16.840.1.113883.5.60']
ClinicalDocument.component.structuredBody.component.section.entry.observation.id.root,2,"['2.16.840.1.113883.19', '37f76c51-6411-4e1d-8a37-957fd49d2cef', '45efb604-7049-4a2e-ad33-d38556c9636c', '9a6d1bac-17d3-4195-89a4-1121bc809b4a', '9b56c25d-9104-45ee-9fa4-e0f3afaa01c1', 'ab1791b0-5c71-11db-b0de-0800200c9a66']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.entryRelationship.supply.performer.assignedEntity.addr.city.@value,1,['Portland']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.entryRelationship.observation.effectiveTime.low.value,1,['20110113']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.product.manufacturedProduct.manufacturedMaterial.code.displayName,1,['Albuterol 0.09 MG/ACTUAT inhalant solution']
ClinicalDocument.recordTarget.patientRole.providerOrganization.id.root,2,"['1.1.1.1.1.1.1.1.4', '2.16.840.1.113883.19']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.entryRelationship.supply.repeatNumber.value,1,['1']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.performer.assignedEntity.assignedPerson.name.given.@value,2,"['Henry', 'Robert']"
ClinicalDocument.component.structuredBody.component.section.entry.act.participant.participantRole.classCode,1,['SDLOC']
ClinicalDocument.component.structuredBody.component.section.entry.act.participant.participantRole.addr.state.@value,1,['MA']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.entryRelationship.supply.performer.assignedEntity.assignedPerson.name.family.@value,1,['Seven']
ClinicalDocument.component.structuredBody.component.section.text.table.width,2,['100%']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.administrationUnitCode.codeSystem,1,['2.16.840.1.113883.3.26.1.1']
ClinicalDocument.component.structuredBody.component.section.entry.procedure.performer.assignedEntity.addr.postalCode.@value,2,"['02368', '97266']"
ClinicalDocument.documentationOf.serviceEvent.code.displayName,1,['Pnuemonia']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.effectiveTime.operator,2,['A']
ClinicalDocument.component.structuredBody.component.section.entry.encounter.code.code,1,"['99222', '99241']"
ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.entryRelationship.observation.classCode,1,['OBS']
ClinicalDocument.component.structuredBody.component.section.entry.procedure.performer.assignedEntity.representedOrganization.telecom.value,1,['(555)555-555-1234']
ClinicalDocument.component.structuredBody.component.section.entry.organizer.subject.relatedSubject.subject.birthTime.value,1,['1912']
ClinicalDocument.component.structuredBody.component.section.entry.procedure.participant.participantRole.code.codeSystem,1,['2.16.840.1.113883.6.259']
ClinicalDocument.component.structuredBody.component.section.entry.act.priorityCode.code,1,['CR']
ClinicalDocument.confidentialityCode.code,2,['N']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.effectiveTime.period.value,2,"['12', '6']"
ClinicalDocument.component.structuredBody.component.section.entry.organizer.id.root,2,"['7d5a02b0-67a4-11db-bd13-0800200c9a66', 'c6f88320-67ad-11db-bd13-0800200c9a66']"
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.doseQuantity.nullFlavor,1,['UNK']
ClinicalDocument.component.structuredBody.component.section.entry.observation.participant.participantRole.classCode,1,['SDLOC']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.entryRelationship.observation.value.codeSystem,2,['2.16.840.1.113883.6.96']
ClinicalDocument.component.structuredBody.component.section.text.table.tbody.tr.td.content.ID,2,"['DM', 'DM1', 'Encounter1', 'FillIns', 'FillIns_DM', 'Med1', 'Proc1', 'Proc2', 'fs1', 'fs2', 'immun1', 'immun2', 'immun3', 'immun4', 'reaction1', 'reaction2', 'reaction3', 'result1', 'result2', 'result3', 'severity1', 'severity2', 'severity3', 'soc1', 'soc2', 'soc3', 'vit1', 'vit2', 'vit3', 'vit4', 'vit5', 'vit6']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.effectiveTime.operator,1,['A']
ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.entryRelationship.observation.value.codeSystem,1,['2.16.840.1.113883.6.96']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.entryRelationship.observation.code.codeSystemName,1,['SNOMED CT']
ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.code.codeSystem,1,"['2.16.840.1.113883.6.1', '2.16.840.1.113883.6.96']"
ClinicalDocument.component.structuredBody.component.section.entry.encounter.participant.participantRole.code.code,1,['1160-1']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.effectiveTime.high.value,1,['20120813']
ClinicalDocument.custodian.assignedCustodian.representedCustodianOrganization.addr.postalCode.@value,2,"['02368', '97266']"
ClinicalDocument.component.structuredBody.component.section.entry.procedure.participant.participantRole.playingEntity.classCode,1,['PLC']
ClinicalDocument.legalAuthenticator.assignedEntity.assignedPerson.name.given.@value,2,['Henry']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.entryRelationship.supply.moodCode,1,"['EVN', 'INT']"
ClinicalDocument.component.structuredBody.component.section.entry.encounter.effectiveTime.center.value,1,['20120820']
ClinicalDocument.component.structuredBody.component.section.entry.procedure.participant.participantRole.scopingEntity.id.root,1,['eb936010-7b17-11db-9fe1-0800200c9b65']
ClinicalDocument.code.code,2,"['11488-4', '34133-9']"
ClinicalDocument.recordTarget.patientRole.patient.maritalStatusCode.displayName,2,['Married']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.id.root,1,['cdbd33f0-6cde-11db-9fe1-0800200c9a66']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.code.codeSystemName,1,['SNOMED CT']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.maxDoseQuantity.numerator.nullFlavor,1,['UNK']
ClinicalDocument.recordTarget.patientRole.patient.name.use,2,['L']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.entryRelationship.act.moodCode,2,['INT']
ClinicalDocument.component.structuredBody.component.section.entry.observation.performer.assignedEntity.addr.state.@value,1,['MA']
ClinicalDocument.component.structuredBody.component.section.code.displayName,2,"[' HOSPITAL DISCHARGE MEDICATIONS ', 'ASSESSMENT', 'GENERAL STATUS', 'HISTORY OF MEDICATION USE', 'HISTORY OF PAST ILLNESS', 'HISTORY OF PRESENT ILLNESS', 'HISTORY OF PROCEDURES', 'HOSPITAL DISCHARGE INSTRUCTIONS', 'History of encounters', 'History of immunizations', 'PHYSICAL FINDINGS', 'PROBLEM LIST', 'PROCEDURES', 'REASON FOR REFERRAL', 'REASON FOR VISIT + CHIEF COMPLAINT', 'RESULTS', 'REVIEW OF SYSTEMS', 'Social History', 'Treatment plan', 'VITAL SIGNS']"
ClinicalDocument.inFulfillmentOf.order.id.root,1,['2.16.840.1.113883.19']
ClinicalDocument.recordTarget.patientRole.patient.guardian.guardianPerson.name.given.@value,2,['Ralph']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.consumable.manufacturedProduct.manufacturedMaterial.code.codeSystem,1,['2.16.840.1.113883.6.88']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.participant.participantRole.playingEntity.code.displayName,2,"['ALLERGENIC EXTRACT, PENICILLIN', 'ASPIRIN', 'Aspirin', 'Codeine', 'Penicillin G benzathine']"
ClinicalDocument.component.structuredBody.component.section.entry.procedure.classCode,2,['PROC']
ClinicalDocument.component.structuredBody.component.section.entry.encounter.participant.participantRole.telecom.nullFlavor,1,['UNK']
ClinicalDocument.participant.associatedEntity.classCode,2,"['NOK', 'PRS']"
ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.text.@value,1,['Follow up with Dr George Potomac for Asthma']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.entryRelationship.observation.statusCode.code,1,['completed']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.routeCode.code,1,['C38216']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.entryRelationship.supply.classCode,1,['SPLY']
ClinicalDocument.recordTarget.patientRole.providerOrganization.telecom.use,2,['WP']
ClinicalDocument.recordTarget.patientRole.providerOrganization.addr.city.@value,2,"['Burlington', 'Portland']"
ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.observation.classCode,1,['OBS']
ClinicalDocument.component.structuredBody.component.section.entry.procedure.id.extension,1,['123456789']
ClinicalDocument.recordTarget.patientRole.patient.administrativeGenderCode.codeSystem,2,['2.16.840.1.113883.5.1']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.product.manufacturedProduct.manufacturedMaterial.code.codeSystem,1,['2.16.840.1.113883.6.88']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.participant.participantRole.classCode,2,['MANU']
ClinicalDocument.component.structuredBody.component.section.entry.procedure.moodCode,2,"['EVN', 'RQO']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.maxDoseQuantity.nullFlavor,1,['UNK']
ClinicalDocument.documentationOf.serviceEvent.effectiveTime.high.value,1,['20120813']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.routeCode.codeSystemName,2,"['NCI Thesaurus', 'National Cancer Institute (NCI) Thesaurus', 'RouteOfAdministration']"
ClinicalDocument.code.displayName,2,"['Consultation Note', 'Summarization of Episode Note']"
ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.entryRelationship.observation.classCode,1,['OBS']
ClinicalDocument.author.assignedAuthor.addr.postalCode.@value,2,"['02368', '97266']"
ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.observation.value.type,1,['CD']
ClinicalDocument.component.structuredBody.component.section.entry.act.participant.participantRole.code.displayName,1,['General Acute Care Hospital']
ClinicalDocument.component.structuredBody.component.section.entry.observation.performer.assignedEntity.telecom.value,1,['(555)555-555-1234']
ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.observation.code.codeSystemName,1,['SNOMED CT']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.rateQuantity.value,2,['90']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.consumable.manufacturedProduct.manufacturedMaterial.code.displayName,2,"['Albuterol 0.09 MG/ACTUAT inhalant solution', 'Influenza virus vaccine', 'Pneumococcal polysaccharide vaccine', 'Tetanus and diphtheria toxoids - preservative free']"
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.consumable.manufacturedProduct.classCode,1,['MANU']
ClinicalDocument.component.structuredBody.component.section.entry.encounter.participant.participantRole.playingEntity.classCode,1,['PLC']
ClinicalDocument.componentOf.encompassingEncounter.code.code,2,"['233604007', '99213']"
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.entryRelationship.act.code.displayName,2,['instruction']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.id.root,2,['1.2.3.4.56789.1']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.author.assignedAuthor.assignedPerson.name.prefix.@value,2,['Dr.']
