,count,values
dataset.system.parameter.name.@value,1,['Aussenpara1']
dataset.system.boundaryCondition.parameter.name.@value,1,['ParaB12']
dataset.system.phase.component.forcefield.name.@value,1,['Forcefield1']
dataset.system.phase.component.quantity.@value,1,['1']
dataset.description.descriptionType,1,['Abstract']
dataset.keywords.keyword.@value,1,"['Testkeyword', 'Thermodynamics', 'flow velocity', 'test area']"
dataset.system.grid.point.positionY.@value,1,['50']
dataset.system.boundaryCondition.parameter.unit.@value,1,['mm']
dataset.provenance.step.tool.citation.@value,1,['string']
dataset.creator.role.@value,1,['Researcher']
dataset.system.parameter.unit.@value,1,['cm']
dataset.system.phase.component.forcefield.parameter.unit.@value,1,"['km/s', 'm/s']"
dataset.provenance.step.actor.familyName.@value,1,['Test']
dataset.provenance.step.instrument.serialnum.@value,1,['d3423203432']
dataset.checksum.algorithm,1,['md5']
dataset.rightsStatement.statuteInformation.statuteCitation.authorityURI,1,['']
dataset.context.referencePublication.url.@value,1,['http://www.tandfonline.com/doi/abs/10.1080/00268976.2016.1213909']
dataset.context.relatedIdentifier.relationType,1,['IsSourceOf']
dataset.system.boundaryCondition.flow.position.@value,1,['x:12 y:27']
dataset.context.relatedResource.checksum.@value,1,['be32lpr3243']
dataset.size.@value,1,['12432403423']
dataset.system.boundaryCondition.flow.shape.@value,1,['oval']
dataset.provenance.step.instrument.history.event.notes.@value,1,"['Sensor bliablablub kaputt', 'einbau schwierig']"
dataset.provenance.step.instrument.partnum.@value,1,['122344354.343']
dataset.resourceType.resourceTypeGeneral,1,['Dataset']
dataset.measuredVariable.unit.@value,1,"['Celsius', 'm/s']"
dataset.creator.givenName.@value,1,['Jane']
dataset.creator.name.@value,1,"['Doe, Jane']"
dataset.provenance.step.executionCommand.@value,1,['gmx_mpi mdrun -s run.tpr -maxh 24 -dlb no -deffnm run -c -e -g -o -cpo']
dataset.provenance.step.environment.cpu.@value,1,['Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz']
dataset.provenance.step.tool.SoftwareSourceCode.link.@value,1,['http://link.zum.git']
dataset.description.lang,1,['en']
dataset.format.formatDesignation.formatName.@value,1,['NetCDF']
dataset.system.boundaryCondition.flow.component.@value,1,['c123']
dataset.provenance.step.tool.SoftwareApplication.checksum.@value,1,['edkower4523k42']
dataset.provenance.step.actor.affiliation.name.@value,1,['Institut']
