model_A,model_B
"('AERIS', 'spatialExtents.area.altitude')","('EngMeta', 'dataset.system.grid.point.positionZ.@value')"
"('AERIS', 'spatialExtents.area.eastLongitude')","('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.extent.EX_Extent.geographicElement.EX_GeographicBoundingBox.eastBoundLongitude.Decimal.@value')"
"('AERIS', 'spatialExtents.area.eastLongitude')","('DataCite', 'resource.geoLocations.geoLocation.geoLocationBox.eastBoundLongitude.@value')"
"('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.extent.EX_Extent.geographicElement.EX_GeographicBoundingBox.eastBoundLongitude.Decimal.@value')","('DataCite', 'resource.geoLocations.geoLocation.geoLocationBox.eastBoundLongitude.@value')"
"('AERIS', 'spatialExtents.area.latitude')","('DarwinCore', 'decimalLatitude')"
"('AERIS', 'spatialExtents.area.latitude')","('FHIR', 'position.latitude')"
"('AERIS', 'spatialExtents.area.latitude')","('DataCite', 'resource.geoLocations.geoLocation.geoLocationPoint.pointLatitude.@value')"
"('AERIS', 'spatialExtents.area.latitude')","('CoverageJSON', 'domain.axes.y.start')"
"('DarwinCore', 'decimalLatitude')","('FHIR', 'position.latitude')"
"('DarwinCore', 'decimalLatitude')","('DataCite', 'resource.geoLocations.geoLocation.geoLocationPoint.pointLatitude.@value')"
"('DarwinCore', 'decimalLatitude')","('CoverageJSON', 'domain.axes.y.start')"
"('FHIR', 'position.latitude')","('DataCite', 'resource.geoLocations.geoLocation.geoLocationPoint.pointLatitude.@value')"
"('FHIR', 'position.latitude')","('CoverageJSON', 'domain.axes.y.start')"
"('DataCite', 'resource.geoLocations.geoLocation.geoLocationPoint.pointLatitude.@value')","('CoverageJSON', 'domain.axes.y.start')"
"('AERIS', 'spatialExtents.area.longitude')","('DarwinCore', 'decimalLongitude')"
"('AERIS', 'spatialExtents.area.longitude')","('FHIR', 'position.longitude')"
"('AERIS', 'spatialExtents.area.longitude')","('DataCite', 'resource.geoLocations.geoLocation.geoLocationBox.northBoundLatitude.@value')"
"('AERIS', 'spatialExtents.area.longitude')","('CoverageJSON', 'domain.axes.x.start')"
"('DarwinCore', 'decimalLongitude')","('FHIR', 'position.longitude')"
"('DarwinCore', 'decimalLongitude')","('DataCite', 'resource.geoLocations.geoLocation.geoLocationBox.northBoundLatitude.@value')"
"('DarwinCore', 'decimalLongitude')","('CoverageJSON', 'domain.axes.x.start')"
"('FHIR', 'position.longitude')","('DataCite', 'resource.geoLocations.geoLocation.geoLocationBox.northBoundLatitude.@value')"
"('FHIR', 'position.longitude')","('CoverageJSON', 'domain.axes.x.start')"
"('DataCite', 'resource.geoLocations.geoLocation.geoLocationBox.northBoundLatitude.@value')","('CoverageJSON', 'domain.axes.x.start')"
"('AERIS', 'spatialExtents.area.northLatitude')","('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.extent.EX_Extent.geographicElement.EX_GeographicBoundingBox.northBoundLatitude.Decimal.@value')"
"('AERIS', 'spatialExtents.area.northLatitude')","('DataCite', 'resource.creators.creator.givenName.@value')"
"('ISO19115', 'MD_Metadata.identificationInfo.MD_DataIdentification.extent.EX_Extent.geographicElement.EX_GeographicBoundingBox.northBoundLatitude.Decimal.@value')","('DataCite', 'resource.creators.creator.givenName.@value')"
